Litterbag datasheet - coarse - serial incubations - ALL RAW DATA,,,,,,,,,,,,,,,
Bag ID,Rhodo/Acer,Starting dry mass (g),Starting dry - HL,Starting AFDM,Final dry mass (g),prop sample AFDM,Final AFDM,%AFDM rem,Tin mass (g),Tin + DM (g),Tin + Ash (g),Date deployed,Date Collected,Site,Notes
,,,,,,,,,,,,,,,
C0001,R,5.07,5.01375,4.791568399,3.83,NA,NA,NA,1.7586,5.5656,NA,9/21/2017,11/15/2017,WS36,
C0002,R,4.92,4.86375,4.648215567,3.83,0.940691024,3.602846622,77.51031702,1.7732,5.6023,2.0003,9/21/2017,11/15/2017,WS36,
C0003,R,4.98,4.92375,4.7055567,4.05,0.939895441,3.806576538,80.89534948,2.1279,5.131,2.3084,9/21/2017,11/15/2017,WS36,
C0004,R,4.91,4.85375,4.638658712,3.86,0.934257697,3.606234711,77.74304891,2.0755,5.8691,2.3249,9/21/2017,11/15/2017,WS36,
C0005,R,5.04,4.98375,4.762897833,4.31,0.945605517,4.075559778,85.56891037,1.9789,6.2422,2.2108,9/21/2017,11/15/2017,WS31,
C0006,R,4.92,4.86375,4.648215567,4.21,0.947881925,3.990582906,85.85193282,1.7749,5.7927,1.9843,9/21/2017,11/15/2017,WS31,
C0007,R,4.99,4.93375,4.715113556,4.38,0.940938074,4.121308765,87.40635228,3.6298,7.331,3.8484,9/21/2017,11/15/2017,WS31,
C0008,R,4.95,4.89375,4.676886134,4.35,0.945505445,4.112948684,87.94203166,2.1033,6.3184,2.333,9/21/2017,11/15/2017,WS31,
C0009,R,5.05,4.99375,4.772454688,4.23,0.945623658,3.999988075,83.81406083,1.758,5.951,1.986,9/21/2017,11/15/2017,WS32,
C0010,R,5.05,4.99375,4.772454688,4.4,0.950988636,4.184349999,87.67710271,2.0006,6.1629,2.2046,9/21/2017,11/15/2017,WS32,
C0011,R,5.08,5.02375,4.801125255,3.82,0.945181738,3.61059424,75.20308363,1.7688,5.9809,1.9997,9/21/2017,11/15/2017,WS32,
C0012,R,5.01,4.95375,4.734227266,4.55,0.946540051,4.306757232,90.97064821,3.6627,8.2119,3.9059,9/21/2017,11/15/2017,WS32,
C0013,R,4.93,4.87375,4.657772423,4,0.937200874,3.748803497,80.48490043,1.7871,5.4018,2.0141,9/21/2017,11/15/2017,WS07,
C0014,R,5,4.94375,4.724670411,2.99,0.932426467,2.787955135,59.00845757,1.7816,5.4058,2.0265,9/21/2017,11/15/2017,WS07,
C0015,R,4.98,4.92375,4.7055567,3.78,NA,NA,NA,2.0981,NA,NA,9/21/2017,11/15/2017,WS07,
C0016,R,5.02,4.96375,4.743784122,4.02,0.931223896,3.743520061,78.91421626,1.9582,5.9087,2.2299,9/21/2017,11/15/2017,WS07,
C0017,R,4.96,4.90375,4.686442989,3.24,0.943584818,3.057214812,65.23529292,1.9964,4.8077,2.155,9/21/2017,11/15/2017,WS02,
C0018,R,5,4.94375,4.724670411,3.63,NA,NA,NA,2.0595,5.4082,NA,9/21/2017,11/15/2017,WS02,
C0019,R,5,4.94375,4.724670411,4.39,0.94397455,4.144048274,87.71084359,1.7338,5.6945,1.9557,9/21/2017,11/15/2017,WS02,
C0020,R,4.95,4.89375,4.676886134,4.15,0.945021922,3.921840977,83.85581486,2.0283,6.0881,2.2515,9/21/2017,11/15/2017,WS02,
C0021,R,5.02,4.96375,4.743784122,3.95,0.93046174,3.675323873,77.47662581,3.6082,7.5758,3.8841,9/21/2017,11/15/2017,WS01,
C0022,R,4.99,4.93375,4.715113556,3.7,0.923379735,3.416505021,72.45859469,2.0873,5.5929,2.3559,9/21/2017,11/15/2017,WS01,
C0023,R,4.94,4.88375,4.667329278,3.68,0.927045857,3.411528753,73.09380911,2.0964,5.5986,2.3519,9/21/2017,11/15/2017,WS01,
C0024,R,5.02,4.96375,4.743784122,3.65,0.93780849,3.423000987,72.15760455,2.1301,5.2704,2.3254,9/21/2017,11/15/2017,WS01,
