Litterbag datasheet - fine - serial incubations -ALL RAW DATA,,,,,,,,,,,,,,
Bag ID,Rhodo/Acer,Starting dry mass (g),Starting AFDM,Final dry mass (g),Final AFDM,%AFDM rem,Tin Mass (g),Tin + DM (g),Tin + Ash (g),Date deployed,Date Collected,Site,Notes,
,,,,,,,,,,,,,,
F0001,R,1.5,1.433528317,1.2730,1.2004,83.7374,3.6089,4.8819,3.6815,9/21/2017,11/15/2017,WS36,,
F0002,R,1.56,1.49086945,1.3946,1.2983,87.0834,3.6365,5.0311,3.7328,9/21/2017,11/15/2017,WS36,,
F0003,R,1.74,1.662892848,1.4867,1.3998,84.1786,3.6777,5.1644,3.7646,9/21/2017,11/15/2017,WS36,,
F0004,R,1.71,1.634222281,1.4302,1.3359,81.7453,3.6343,5.0645,3.7286,9/21/2017,11/15/2017,WS36,,
F0005,R,1.5,1.433528317,1.3093,1.2236,85.3558,3.5609,4.8702,3.6466,9/21/2017,11/15/2017,WS31,,
F0006,R,1.49,1.423971461,1.2902,1.2074,84.7910,3.6289,4.9191,3.7117,9/21/2017,11/15/2017,WS31,,
F0007,R,1.62,1.548210582,1.3434,1.2658,81.7589,3.6944,5.0378,3.772,9/21/2017,11/15/2017,WS31,,
F0008,R,1.79,1.710677125,1.7393,1.4620,85.4632,3.6445,5.3838,3.9218,9/21/2017,11/15/2017,WS31,,
F0009,R,1.5,1.433528317,1.3265,1.2664,88.3415,3.6206,4.9471,3.6807,9/21/2017,11/15/2017,WS32,,
F0010,R,1.75,1.672449703,1.4456,1.3545,80.9890,3.652,5.0976,3.7431,9/21/2017,11/15/2017,WS32,,
F0011,R,1.58,1.50998316,1.3924,1.3041,86.3652,3.612,5.0044,3.7003,9/21/2017,11/15/2017,WS32,,
F0012,R,1.65,1.576881149,1.4379,1.3331,84.5403,3.6075,5.0454,3.7123,9/21/2017,11/15/2017,WS32,,
F0013,R,1.65,1.576881149,1.4100,1.2459,79.0104,3.5884,4.9984,3.7525,9/21/2017,11/15/2017,WS07,,
F0014,R,1.62,1.548210582,1.3420,1.2063,77.9158,3.5974,4.9394,3.7331,9/21/2017,11/15/2017,WS07,,
F0015,R,1.63,1.557767438,1.3529,1.2716,81.6296,3.6262,4.9791,3.7075,9/21/2017,11/15/2017,WS07,,
F0016,R,1.59,1.519540016,1.3683,1.2353,81.2943,3.627,4.9953,3.76,9/21/2017,11/15/2017,WS07,,
F0017,R,1.46,1.395300895,1.2188,1.1594,83.0932,3.6489,4.8677,3.7083,9/21/2017,11/15/2017,WS02,,
F0018,R,1.56,1.49086945,1.3419,1.2518,83.9644,3.6101,4.952,3.7002,9/21/2017,11/15/2017,WS02,,
F0019,R,1.46,1.395300895,1.2570,1.1709,83.9174,3.6114,4.8684,3.6975,9/21/2017,11/15/2017,WS02,,
F0020,R,1.64,1.567324293,1.4057,1.3361,85.2472,3.6298,5.0355,3.6994,9/21/2017,11/15/2017,WS02,,
F0021,R,1.62,1.548210582,1.3489,1.2308,79.4982,3.6307,4.9796,3.7488,9/21/2017,11/15/2017,WS01,,
F0022,R,1.34,1.28061863,1.0834,0.9897,77.2830,3.6524,4.7358,3.7461,9/21/2017,11/15/2017,WS01,,
F0023,R,1.3,1.242391208,1.1084,0.9830,79.1216,3.6415,4.7499,3.7669,9/21/2017,11/15/2017,WS01,,
F0024,R,1.41,1.347516618,1.1895,1.0809,80.2142,3.6399,4.8294,3.7485,9/21/2017,11/15/2017,WS01,,
F0025,R,1.44,1.376187184,1.2602,1.1619,84.4289,3.6714,4.9316,3.7697,9/21/2017,11/15/2017,WS08,,
